text,question_type,difficulty,marks,order,options,correct_answer
What is the index of the first element in an array?,mcq,easy,1.00,0,,
Which operation is fastest in an array?,mcq,easy,1.00,1,,
What is the time complexity of searching in an unsorted array?,mcq,medium,1.00,2,,
What happens when inserting into a full array?,mcq,medium,1.00,3,,
Which structure uses nodes with pointers?,mcq,easy,1.00,4,,
Time complexity to insert at beginning of linked list?,mcq,medium,1.00,5,,
Drawback of linked list vs array?,mcq,medium,1.00,6,,
Which list allows traversal in both directions?,mcq,hard,1.00,7,,
Stack follows which principle?,mcq,easy,1.00,8,,
Operation to remove from stack?,mcq,easy,1.00,9,,
What is stack overflow?,mcq,medium,1.00,10,,
Which uses stack?,mcq,hard,1.00,11,,
Queue follows which principle?,mcq,easy,1.00,12,,
Operation to add in queue?,mcq,medium,1.00,13,,
What is circular queue?,mcq,medium,1.00,14,,
Which uses queue?,mcq,hard,1.00,15,,
What is root node?,mcq,easy,1.00,16,,
Max children in binary tree node?,mcq,medium,1.00,17,,
Traversal: Left → Root → Right?,mcq,medium,1.00,18,,
Height of tree?,mcq,hard,1.00,19,,
Graph consists of?,mcq,easy,1.00,20,,
Shortest path algorithm?,mcq,medium,1.00,21,,
What is a cycle?,mcq,medium,1.00,22,,
Traversal using queue?,mcq,hard,1.00,23,,
Hashing is used for?,mcq,easy,1.00,24,,
What is collision?,mcq,medium,1.00,25,,
Collision resolution technique?,mcq,hard,1.00,26,,
